Fundraising Round,Round,Date,Investors,Amount,Valuation,Description,Founder,Website,Project,Category,Sub-categories,Announcement,End date
Aluna - Seed,Seed,2021-02-26T00:00:00.000Z,100/x/Dext Force Ventures,1000000,none,"Gamified finance for the Web 3.0 world - learn, copy and earn with the best crypto traders in the world",Alvin Lee,https://aluna.social/,Aluna,DeFi,Gaming,none,none
BCUGVault - Seed,Seed,2021-03-02T00:00:00.000Z,LD Capital/AU21 Capital/Morningstar Ventures/Moonrock Capital/Altonomy,none,none,"A system of complex DeFi + NFT mechanics built on top of Blockchain Cuties Universe which delivers the true “Play2Earn” concept and aligns incentives of game developers, players, traders and the community veterans",Vladimir Tomko,https://www.blockchaincuties.finance/,BCUGVault,DeFi,DeFi - NFTs,none,none
Moola - Seed,Seed,2021-03-02T00:00:00.000Z,"Polychain Capital/Flori Marquez/Flori Ventures/Davoa
  Capital/Casey Neistat/Jack Herrick/Josh Hannah",1400000,none,A mobile money market protocol democratizing access to yield on the Celo network,Patrick Baron,https://app.moola.market/,Moola,DeFi,Yield/Mobile,https://moolamarket.medium.com/moola-raises-1-4m-seed-round-d7725601789a,none
LazyLedger - Seed,Seed,2021-03-03T00:00:00.000Z,Binance Labs/KR1/Interchain Foundation,1500000,none,"A pluggable consensus and data availability layer, to enable anyone to quickly deploy a decentralised blockchain without the overhead of bootstrapping a new consensus network",Evan Forbes,https://lazyledger.org/,LazyLedger,Infrastructure,Data,none,none
Stater - Seed,Seed,2021-03-11T00:00:00.000Z,Magnus Capital/Tenzor Capital/X21 Digital,400000,none,Lending platform for NFT assets,Bogdan Baiceanu,https://stater.co/,Stater,NFTs,Lending/Borrowing,none,none
Reef Finance - Strategic,Strategic,2021-03-12T00:00:00.000Z,"Alameda
  Research",20000000,none,"Cross-chain DeFi operating system, powered by Polkadot",Denko Mancheski,https://reef.finance/,Reef Finance,DeFi,Interoperability,none,none
Polkaswitch - Seed,Seed,2021-03-12T00:00:00.000Z,Ascensive Assets/Signum Capital/LD Capital/Bitscale Capital/Waterdrip Capital,3000000,none,Multi-chain liquidity protocol for L1 protocols,Viveik V.,https://www.polkaswitch.com/,Polkaswitch,DeFi,Liquidity,none,none
SubQuery - Seed,Seed,2021-03-12T00:00:00.000Z,DeFi Alliance/D1 Ventures/Hypersphere Ventures/The LAO,1800000,none,Helping Polkadot/Substrate projects build better dApps by allowing anyone to reliably find and consume data,Sam Zou,https://subquery.network/,SubQuery,Infrastructure,Data,none,none
Arianee - Seed,Seed,2021-03-11T00:00:00.000Z,Bpifrance/ISAI/NOIA Capital,9500000,none,Digital passport platform for all valuables,Emmanuelle Collet,https://www.arianee.org/,Arianee,Web3,Supply chain,none,none
Boson Protocol - Strategic,Strategic,2021-03-12T00:00:00.000Z,Outlier Ventures/Rarestone Capital/DuckDAO/Animoca Brands/Lotus Capital,10000000,none,Decentralized infrastrucutre for enabling autonomous commercial exchanges on Ethereum,Justin Banon,https://bosonprotocol.io/,Boson Protocol,Web3,Tokenization,none,none
Fetch.ai - Strategic,Strategic,2021-03-12T00:00:00.000Z,Fireblocks,5000000,none,"An open access, tokenized, decentralized machine learning network to enable smart infrastructure built around a decentralized digital economy",Humayun Sheikh,https://fetch.ai/,Fetch.ai,Infrastructure,Machine Learning/Smart contracts,none,none
Illuvium - Seed,Seed,2021-03-16T00:00:00.000Z,Bitscale Capital/LD Capital/Lotus Capital,5000000,none,An open-world RPG adventure game built on Ethereum ,Kieran Warwick,https://illuvium.io/,Illuvium,Web3,Gaming,https://medium.com/illuvium/13-illuvium-closes-5m-seed-round-from-leading-venture-capital-firms-a6076ef45f62,none
Sommelier Finance - Seed,Seed,2021-03-10T00:00:00.000Z,"Multicoin Capital/Standard Crypto/Alameda
  Research/Power Planet Holdings",3500000,none,A multi-chain primitive to help DeFi investors avoid impermanent loss ,Jack Zampolin,https://app.sommelier.finance/,Sommelier Finance,DeFi,Risk management,none,none
Sentinel - Strategic,Strategic,2021-03-11T00:00:00.000Z,Woodstock Fund/Atka/Zokyo/Genblock Capital,3500000,none,Cosmos-based network level security and privacy for Web 3.0,Roy Lai,https://sentinel.co/downloads,Sentinel,Infrastructure,Privacy,none,none
Jigstack - Seed,Seed,2021-03-12T00:00:00.000Z,ExNetwork Capital/Gains/X21 Digital,2700000,none,The DAO of DeFi,Robert Weir,https://jigstack.org/,Jigstack,Infrastructure,Governance,none,none
Start9 Labs - Seed,Seed,2021-03-11T00:00:00.000Z,TEN31/Erik Voorhees,1200000,none,A graphical operating system for running self-hosted software,Keagan McClelland,https://start9labs.com/,Start9 Labs,Infrastructure,Tooling,none,none
Cellframe - Strategic,Strategic,2021-03-12T00:00:00.000Z,3Commas,900000,none,Quantum-resistant layer-1 network focused on facilitating secure and scalable cross-chain transfers,Arun Pudur,https://cellframe.net/,Cellframe,Infrastructure,Interoperability,none,none
Polkalokr - Strategic,Strategic,2021-03-15T00:00:00.000Z,AU21 Capital/Moonrock Capital/LD Capital/Morningstar Ventures,950000,none,Multi-chain token locking & escrow platform with built-in privacy functionality,Imran Ashfaq,https://polkalokr.com/,Polkalokr,Infrastructure,Governance,none,none
Anchor Protocol - Strategic,Strategic,2021-03-16T00:00:00.000Z,Arrington XRP Capital/Galaxy Digital/Hashed,20000000,none,Savings protocol built on the Terra blockchain,Ryan Park,https://app.anchorprotocol.com/,Anchor Protocol,DeFi,Savings,none,none
Ramifi Protocol - Strategic,Strategic,2021-03-18T00:00:00.000Z,Genblock Capital/Morningstar Ventures/Magnus Capital/Moonrock Capital/DuckDAO/Lotus Capital,740000,none,A synthetic asset protocol based on commodities whose main goal is to denominate inflation and hedge against it.,Kyle Kahlenberg,https://ramifi.org/,Ramifi Protocol,DeFi,Synthetics,none,none
OpenSea - Series A,Series A,2021-03-18T00:00:00.000Z,"Mark Cuban/Tim Ferris/Standard Crypto/Blockchain Capital/Andreessen Horowitz/Dylan Field/Alexis
  Ohanian/Linda
  Xie/Belinda Johnson/Ben Silbermann/Balaji Srinivasan/FlamingoDAO/3LAU/RAC/Justin Kan/Metapurse/Bill Lee/Andrew Steinwold/1confirmation/Pascal
  Capital/Regan Bozman/Kevin Hartz",23000000,none,Largest NFTs marketplace,Devin Finzer/Alex Atallah,https://opensea.io/,OpenSea,NFTs,Marketplace,none,none
NFTMart - Seed,Seed,2021-03-18T00:00:00.000Z,PAKA/LD Capital/AU21 Capital,none,none,A platform to build a fractional trading marketplace of NFTs with its own public blockchain,Sherry Zhang,https://www.nftmart.io/,NFTMart,NFTs,Marketplace/Fractionalization,none,none
Unmarshal - Seed,Seed,2021-03-19T00:00:00.000Z,Woodstock Fund/NGC Ventures/Zokyo/Altonomy/BitMax,2600000,none,Multi-chain DeFi data network aiming to deliver granular & real-time data to dApps,Manohara K,https://unmarshal.io/,Unmarshal,DeFi,Data,none,none
StakeWise - Strategic,Strategic,2021-03-08T00:00:00.000Z,gumi Cryptos,2000000,none,Ethereum 2.0 staking protocol,Dmitri Tsumak,https://stakewise.io/,StakeWise,Infrastructure,Staking,none,none
Unslashed - Seed,Seed,2021-03-04T00:00:00.000Z,Lemniscap/Bitscale Capital/Chainlayer,2000000,none,Decentralized Insurance Protocol built on Ethereum,Dimitriy Remerov,https://unslashed.finance/,Unslashed,DeFi,Insurance,none,none
OpenOcean - Strategic,Strategic,2021-03-26T00:00:00.000Z,Altonomy/LD Capital/DAO Maker/MarketAcross/Cao Zhen,2000000,none,Full chain aggregator that offers the best swap pricing,Cindy Wu,https://openocean.finance/,OpenOcean,DeFi,Aggregator,none,none
FinNexus - Strategic,Strategic,2021-03-04T00:00:00.000Z,Parallel Ventures/DeFi Capital/SevenX Ventures/D1 Ventures,1500000,none,Versatile DeFi options platform,Boris Yang,https://finnexus.io/,FinNexus,DeFi,Options,none,none
Yield Guild Games - Seed,Seed,2021-03-04T00:00:00.000Z,Scalar Capital/gumi Cryptos/YouBi Capital/SevenX Ventures/FlamingoDAO/Delphi Digital/Blocktower Capital/Ascensive Assets/Animoca Brands,1300000,none,A gaming guild that brings players together to earn via blockchain-based economies,Gabby Dizon,https://yieldguild.io/,Yield Guild Games,Web3,Gaming,none,none
Curio - Seed,Seed,2021-03-09T00:00:00.000Z,Future Perfect Ventures,1200000,none,Renewing the digital collectible experience working with the biggest names in the entertainment industry to create fun collections and experiences for awesome fans,Juan M. Hernandez,https://oncurio.com/,Curio,NFTs,Collectibles,none,none
dTrade - Pre-Seed,Pre-Seed,2021-03-08T00:00:00.000Z,Polychain Capital/ParaFi Capital/Hypersphere Ventures/Mechanism Capital/CMS Holdings/AU21 Capital/Calvin Liu/Meltem Demirors/Ricky Li,none,none,Decentralised perpetuals and options trading built on Polkadot,Rabeel Jawaid,https://dtrade.org/,dTrade,DeFi,Options/Trading,none,none
Automata Network - Seed,Seed,2021-03-09T00:00:00.000Z,KR1/Divergent Ventures/Signum Capital/SNZ Holding,1000000,none,"A decentralized service protocol that aims to bolster the privacy, assurance, and capabilities of decentralized applications",Deli Gong,https://www.ata.network/,Automata Network,Infrastructure,Privacy,none,none
Raze Network - Seed,Seed,2021-03-09T00:00:00.000Z,AU21 Capital,none,none,"Substrate-based, cross-chain privacy protocol for the Polkadot ecosystem, built as a native privacy layer that can provide anonymity for DeFi",Justin Kellison,https://raze.network/,Raze Network,Infrastructure,Privacy,none,none
Zora - Strategic,Strategic,2021-03-19T00:00:00.000Z,Paradigm,none,none,"A protocol designed for the Ethreum blockchain that established universal, perpetual markets for media in the form of ERC-721",Slava Kim,https://zora.co/,Zora,NFTs,Collectibles,none,none
Bounce - Strategic,Strategic,2021-03-19T00:00:00.000Z,Coinbase Ventures/Hashed/Fundamental Labs/DHVC/Blockchain Capital,none,none,DeFi and NFT auction protocol,Chandler Song/Ryan Fang,https://bounce.finance/,Bounce,DeFi,none,none,none
Republic - Series A,Series A,2021-03-27T00:00:00.000Z,Broadhaven Capital Partners/Hashed/Prosus Ventures,36000000,none,"Platform to access highly-vetted investment opportunities in startups, real estate, video games, and crypto",Kenneth Ballenegger,https://republic.co/,Republic,CeFi,Funding,none,none
Alchemix - Strategic,Strategic,2021-03-14T00:00:00.000Z,"eGirl Capital/CMS Holdings/Alameda
  Research/Immutable
  Capital/Nascent/Protoscale Capital/LedgerPrime/Fisher8
  Capital/Orthogonal
  Trading",4900000,none,Future-yield-backed synthetic asset platform ,Scoopy Trooples,https://app.alchemix.fi/,Alchemix,DeFi,Synthetics/Stablecoins,none,none
Vega Protocol - Strategic,Strategic,2021-03-18T00:00:00.000Z,Arrington XRP Capital/Coinbase Ventures/ParaFi Capital/Signum Capital/SevenX Ventures/DeFi Alliance/GSR,5000000,none,"Decentralised infrastructure that allows anyone to create products and markets, be a market maker, or trade.",Ramsey Khoury/Barney Mannerings,https://vega.xyz/,Vega Protocol,Infrastructure,AMM,none,none
Volmex - Seed,Seed,2021-03-17T00:00:00.000Z,Three Arrows Capital/Robot Ventures/IDSG,none,none,Protocol for volatility indices and non-custodial trading built on Ethereum,Cole Kennelly,https://volmex.finance/,Volmex,DeFi,Trading,none,none
Tally - Seed,Seed,2021-03-18T00:00:00.000Z,Lemniscap/1kx,1500000,none,Easy-to-use governance dashboard,Dennison Bertram/Rafael Solari,https://www.withtally.com/,Tally,Infrastructure,Governance/Tooling,none,none
Maple - Seed,Seed,2021-03-18T00:00:00.000Z,"Polychain Capital/Framework
  Ventures",1400000,none,DeFi lending protocol for corporate & institutional capital,Sidney Powell,https://www.maple.finance/,Maple,DeFi,Lending/Borrowing,none,none
Syndicate - Pre-Seed,Pre-Seed,2021-03-18T00:00:00.000Z,IDEO Colab Ventures/Electric Capital/CoinFund/DeFi Alliance/Robot Ventures/Nascent/Kleiner Perkins,1000000,none,Decentralized investing protocol and social network,Ian Lee/Will Papper,https://syndicateprotocol.org/,Syndicate,Infrastructure,Social network/DAO/Investment,none,none
Overlay - Seed,Seed,2021-03-18T00:00:00.000Z,Polychain Capital/ParaFi Capital/The LAO/1kx/MetaCartel Ventures,2200000,none,A protocol for trading DeFi data streams,Adam Kay,https://overlay.market/,Overlay,DeFi,Data/Trading,none,none
Bandot - Strategic,Strategic,2021-03-15T00:00:00.000Z,Candaq/AU21 Capital/NGC Ventures/Altonomy/Gate.io/BigONE/HotBit,none,none,A stablecoin unsecured lending system based on Polkadot,Cora Chen,https://www.bandot.io,Bandot,DeFi,Stablecoins,none,none
XFai - Strategic,Strategic,2021-04-08T00:00:00.000Z,LD Capital,none,none,Tooling for the DeFi space (starting with the DLO: the DEX Liquidity Oracle),Taulant Ramabaja,https://www.xfai.com/,XFai,Infrastructure,Oracle,none,none
Deeper - Strategic,Strategic,2021-03-17T00:00:00.000Z,Candaq/SevenX Ventures,1000000,none,"Combines blockchain, network security, and sharing economy to create a global peer to peer network that empowers the real users of the internet and paves the way for the next generation of the web",David Jin,https://deeper.network/,Deeper,Infrastructure,Security,none,none
Bitclout - Strategic,Strategic,2021-03-23T00:00:00.000Z,Coinbase Ventures/Social Capital/Winklevoss Capital/Digital Currency Group/Arrington XRP Capital/Polychain Capital,none,none,"A decentralized alternative to Twitter, built on a new Proof-of-Work blockchain, with the aim of creating an open source social media platform",Nader Al-Naji,https://bitclout.com/,Bitclout,Web3,Social network/Social token,none,none
Lukka - Series D,Series D,2021-03-25T00:00:00.000Z,"Soros
  Fund Management/S&P
  Global/CPA.com",53000000,none,Custom software and data for managing crypto assets on infrastructure made for the complexities of blockchain data,Robert Materazzi,https://www.lukka.tech/,Lukka,Infrastructure,Data,none,none
EPNS - Extended Seed,Extended Seed,2021-03-29T00:00:00.000Z,True Ventures/Binance Labs/LD Capital/BR Capital/Sandeep Nailwal,600000,none,Decentralized notification protocol on Ethereum ,Harsh Rajat,https://epns.io/,EPNS,Infrastructure,Notification,none,none
Handle Finance - Seed,Seed,2021-03-25T00:00:00.000Z,Distributed Global/Lemniscap/Digital Asset Capital Management/CMS Holdings/Hardfork Ventures,none,none,"Global DeFi FX market enabling to mint, pool, and trade multi-currency stablecoins all backed by Ethereum ",none,https://handle.fi/,Handle Finance,DeFi,Stablecoins,none,none
K21 (from Kanon) - Strategic,Strategic,2021-03-22T00:00:00.000Z,SuperRare/Compute Ventures/Nascent/Cluster Capital/Morningstar Ventures,none,none,Closed-end art bault providing liquid exposure to a curated collection of 21 unique NFT artworks,none,https://k21.kanon.art/fr,K21 (from Kanon),NFTs,Art,none,none
RAGE.Fan - Seed,Seed,2021-03-22T00:00:00.000Z,X21 Digital/Magnus Capital/Moonrock Capital/AU21 Capital,1600000,none,Fan-first on-chain fantasy sports and gaming platform,Satheesh,https://rage.fan/,RAGE.Fan,Web3,Gaming,none,none
Polkamon - Strategic,Strategic,2021-03-23T00:00:00.000Z,Morningstar Ventures,740000,none,Animated authentic digital collectibles with varying scarcities,Lennart Brandt,https://polkamon.com/,Polkamon,NFTs,Marketplace,none,none
ColdStack - Pre-Seed,Pre-Seed,2021-03-24T00:00:00.000Z,Black Edge Capital/X21 Digital/Paribus Ventures,600000,none,Decentralized cloud storage aggregator that provides a single entry point to decentralized clouds with unified API and billing,Alexander Shishow,https://coldstack.io/,ColdStack,Infrastructure,Storage/Aggregator,none,none
Blockchain.com - Series C,Series C,2021-03-24T00:00:00.000Z,"DST Global/Vy Capital/Lightspeed
  Venture Partners/Baillie Gifford",300000000,none,"A place to securely buy, store, and trade cryptoassets",Peter Smith,https://www.blockchain.com/,Blockchain.com,CeFi,Custody,none,none
Covalent - Seed,Seed,2021-03-24T00:00:00.000Z,Hashed/Binance Labs/Coinbase Ventures/Hypersphere Ventures,2000000,none,Blockchain data querying service that empowers dApps with peronalized and scalable blockchain data,Ganesh Swami,https://www.covalenthq.com/,Covalent,Infrastructure,Data/Tooling,none,none
Genesis Shards - Seed,Seed,2021-03-24T00:00:00.000Z,3Commas/LD Capital/Moonrock Capital/AU21 Capital,2700000,none,Marketplace for pre-IDO tokens on NFTs,Nilotpal Mukherjee/Garlam Won,https://www.genshards.com/,Genesis Shards,NFTs,Marketplace,none,none
Collateral - Strategic,Strategic,2021-03-25T00:00:00.000Z,Magnus Capital/X21 Digital/4SV/Lotus Capital,none,none,A Polkadot-based decentralized payment gateway that lets users collateralize crypto to facilitate payment for goods and services,Chris Longden,https://www.collateralpay.com/,Collateral,DeFi,Payment,none,none
XDefi Wallet - Seed,Seed,2021-03-24T00:00:00.000Z,Mechanism Capital/Morningstar Ventures/Erik Voorhees/Sebastien Audet/Suhail Gangji/Marc Zeller,1200000,none,A chain agnostic cryptocurrency wallet,Emile Dubié,https://www.xdefi.io/,XDefi Wallet,Infrastructure,Wallet,none,none
Charm Finance - Seed,Seed,2021-03-25T00:00:00.000Z,Divergent Ventures/DeFiance Capital,none,none,Automatic Market Maker (AMM) that creates liquidity for decentralized options,Tom,https://charm.fi/,Charm Finance,DeFi,AMM/Liquidity,none,none
NAOS Finance - Seed,Seed,2021-03-27T00:00:00.000Z,Mechanism Capital,none,none,"Enabling the billions of dollars held in real-world, fiat currency-denominated debt and other financial instruments to be tokenized and transacted on a blockchain",Jeffrey Lin,https://naos.finance/,NAOS Finance,DeFi,Tokenization/Real world assets,none,none
Recur - Seed,Seed,2021-03-27T00:00:00.000Z,DeFi Alliance/Joseph Lubin,5000000,none,"On-chain branded experiences allowing fans to buy, collect, and re-sell digital products and collectibles (NFTs)",Zach Bruch/Trevor George,https://www.recurforever.com/,Recur,NFTs,Collectibles,none,none
Beyond - Seed,Seed,2021-03-23T00:00:00.000Z,DuckDAO/Rarestone Capital,7500000,none,A novel way to access synthetic assets & DeFi: create and trade synthetic financial products on BEYOND's DEX,Tim Ho,https://beyondfinance.io/,Beyond,DeFi,Synthetics,none,none
Sardine - Seed,Seed,2021-03-25T00:00:00.000Z,Coinbase Ventures,4800000,none,"Provides fraud prevention as a service to FinTechs, Digital wallets and Crypto companies",Soups Ranjan,https://www.sardine.ai/,Sardine,Infrastructure,Security,none,none
Saito - Strategic,Strategic,2021-04-01T00:00:00.000Z,4SV/AU21 Capital,2000000,none,Web3 Foundation grant recipient that runs blockchain applications directly in your browser,Richard Parris/David Lancashire,https://saito.io/,Saito,Infrastructure,Scalability/P2P,none,none
